149;27;268;24;200;67;200;67;45;200;50;50
144;146;147;27;198;67;198;67;73;400;50;50
141;144;268;146;197;66;197;66;101;200;50;50
267;24;267;147;199;67;199;67;130;400;50;50
641;31;756;31;709;71;709;71;158;200;50;50
637;149;637;24;712;67;712;67;187;400;50;50
636;153;760;154;712;65;712;65;215;200;50;50
760;26;758;155;710;64;710;64;244;400;50;50
748;393;872;393;827;453;827;453;272;200;50;50
751;512;749;392;828;451;828;451;301;400;50;50
749;514;872;515;825;453;825;453;329;200;50;50
871;393;872;515;825;453;825;453;357;400;50;50
393;515;512;514;449;576;449;576;386;200;50;50
389;634;391;513;450;575;450;575;414;400;50;50
387;637;510;638;456;572;456;572;443;200;50;50
513;512;511;639;450;574;450;574;471;400;50;50
144;635;266;637;192;702;192;702;500;200;50;50
143;754;144;632;191;703;191;703;528;400;50;50
145;756;267;759;192;703;192;703;557;200;50;50
266;637;268;761;193;702;193;702;585;400;50;50
148;392;389;394;249;511;249;511;613;200;50;50
144;630;147;395;251;509;251;509;642;400;50;50
144;635;388;640;249;512;249;512;670;200;50;50
391;394;389;640;249;509;249;509;699;400;50;50
27;268;147;269;73;316;73;316;727;200;50;50
29;387;27;268;66;319;66;319;756;400;50;50
29;389;148;389;69;320;69;320;784;200;50;50
148;268;150;389;70;318;70;318;813;400;50;50
269;147;391;146;322;192;322;192;841;200;50;50
268;270;269;147;323;193;323;193;869;400;50;50
268;270;391;272;325;193;325;193;898;200;50;50
390;146;389;271;324;193;324;193;926;400;50;50
395;149;633;150;517;239;517;239;955;200;50;50
391;390;395;150;515;242;515;242;983;400;50;50
388;392;633;394;520;240;520;240;1012;200;50;50
636;150;633;394;520;240;520;240;1040;400;50;50
