Battle of Cynoscephalae,-363,-363,,BC
Battle of Mantinea,-361,-361,,BC
Social War,-356,-354,,BC
Third Sacred War,-355,-345,,BC
Battle of Embata,-355,-355,,BC
Battle of Guiling,-353,-352,,BC
Battle of Thermopylae,-352,-352,,BC
Battle of Crocus Field,-351,-351,,BC
Foreign War,-345,-342,,BC
Battle of Maling,-341,-341,,BC
Battle of Mount Gaurus,-341,-341,,BC
Battle of the Crimissus,-339,-339,,BC
Battle of Vesuvius,-339,-339,,BC
Latin War,-339,-337,,BC
Battle of Trifanum,-338,-338,,BC
Battle of Chaeronea,-337,-337,6954,BC
Alexander's Balkan campaign,-334,-334,,BC
Siege of Halicarnassus,-333,-333,,BC
Battle of the Granicus,-333,-333,,BC
Siege of Gordium,-332,-332,,BC
Battle of Issus,-332,-332,,BC
Siege of Tyre,-331,-331,,BC
Siege of Gaza,-331,-331,,BC
Battle of Megalopolis,-330,-330,,BC
Battle of Pandosia,-330,-330,,BC
Battle of Gaugamela,-330,-330,,BC
Battle of the Persian Gate,-329,-329,,BC
Sogdian Rock,-326,-326,,BC
Capture of Neapolis,-326,-326,,BC
Battle of the Hydaspes River,-324,-324,,BC
Lamian War,-322,-322,,BC
Battle of Crannon,-321,-321,,BC
Battle of the Caudine Forks,-320,-320,,BC
Battle of Paraitacene,-316,-316,,BC
Battle of Gabiene,-315,-315,,BC
Battle of Lautulae,-314,-314,,BC
Battle of Gaza,-311,-311,,BC
Battle of Himera,-310,-310,,BC
Battle of Lake Vadimo,-309,-309,,BC
Battle of Salamis in Cyprus,-306,-306,,BC
Siege of Rhodes,-304,-303,,BC
Battle of Bovianum,-304,-304,,BC
Battle of Ipsus,-300,-300,,BC
Battle of Camerinum,-297,-297,,BC
Battle of Tifernum,-296,-296,,BC
Battle of Sentinum,-294,-294,,BC
Battle of Aquilonia,-292,-292,,BC
Battle of Yique,-292,-292,,BC
Battle of Arretium,-283,-283,,BC
Battle of Lake Vadimo,-282,-282,,BC
Battle of Populonia,-281,-281,,BC
Battle of Corupedium,-280,-280,,BC
Pyrrhic War,-279,-274,,BC
Battle of Heraclea,-279,-279,,BC
Battle of Asculum,-278,-278,,BC
Battle of Beneventum,-274,-274,,BC
Siege of Sparta,-271,-271,,BC
Chremonidean War,-266,-260,,BC
Kalinga War,-264,-263,,BC
Battle of Messana,-264,-263,,BC
First Punic War,-263,-240,,BC
Punic Wars,-263,-145,,BC
Battle of Changping,-261,-259,,BC
Battle of Agrigentum,-260,-260,,BC
Battle of the Lipari Islands,-259,-259,,BC
Battle of Mylae,-259,-259,,BC
Battle of Cos,-257,-257,,BC
Battle of Sulci,-257,-257,,BC
Battle of Tyndaris,-256,-256,,BC
Battle of Cape Ecnomus,-255,-255,,BC
Battle of Tunis,-254,-254,,BC
Battle of Adys,-254,-254,,BC
Siege of Aspis,-254,-254,,BC
Battle of Panormus,-250,-250,,BC
Battle of Drepana,-248,-248,,BC
Battle of Andros,-245,-245,,BC
Battle of the Aegates Islands,-240,-240,,BC
Mercenary War,-239,-237,,BC
Battle of the Bagradas River,-238,-238,,BC
"Battle of ""The Saw""",-238,-238,,BC
Siege of Tunis,-238,-238,,BC
Battle of Utica,-237,-237,,BC
Illyrian Wars,-228,-218,,BC
Cleomenic War,-228,-221,,BC
Battle of Dyme,-225,-225,,BC
Battle of Telamon,-224,-224,,BC
Battle of Faesulae,-224,-224,,BC
Qin conquest of Chu,-224,-224,,BC
Battle of Sellasia,-221,-221,,BC
Battle of Clastidium,-221,-221,,BC
Second Punic War,-217,-200,,BC
Battle of Cissa,-217,-217,,BC
Siege of Saguntum,-217,-217,,BC
Battle of Lilybaeum,-217,-217,,BC
Battle of Rhone Crossing,-217,-217,,BC
Battle of Ticinus,-217,-217,,BC
Battle of the Trebia,-217,-217,,BC
Battle of Ebro River,-216,-216,,BC
Battle of Ager Falernus,-216,-216,,BC
Battle of Geronium,-216,-216,,BC
Battle of Raphia,-216,-216,,BC
Battle of Lake Trasimene,-216,-216,,BC
Battle of Nola,-215,-215,,BC
Battle of Cannae,-215,-215,,BC
Battle of Nola,-214,-214,,BC
Battle of Cornus,-214,-214,,BC
Battle of Dertosa,-214,-214,,BC
First Macedonian War,-213,-204,,BC
Battle of Nola,-213,-213,,BC
Siege of Syracuse,-213,-211,,BC
Battle of Beneventum,-213,-213,,BC
Battle of Herdonia,-211,-211,,BC
Battle of Capua,-211,-211,,BC
